epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.057446,0.602666,0.815184,0.431343,0.249157
2,0.054012,0.631785,0.80528,0.375574,0.183301
3,0.0521,0.59099,0.826202,0.456389,0.286281
4,0.050255,0.614206,0.836341,0.443412,0.268889
5,0.046735,0.574691,0.830567,0.50057,0.335497
6,0.048955,0.638383,0.817544,0.442069,0.263561
7,0.046769,0.641391,0.80068,0.40882,0.224471
8,0.046312,0.620449,0.834949,0.450045,0.265116
9,0.044073,0.608476,0.810872,0.437372,0.264815
10,0.042984,0.594827,0.817108,0.459762,0.290413
11,0.042923,0.567109,0.826979,0.507181,0.352815
12,0.045451,0.611147,0.829239,0.470171,0.296821
