epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.309511,0.322967,0.835449,0.429034,0.357843
2,0.283953,0.295616,0.838986,0.393371,0.355893
3,0.273998,0.289626,0.83168,0.441114,0.391342
4,0.256635,0.280952,0.823599,0.457197,0.389378
5,0.239816,0.271269,0.817276,0.495094,0.413106
6,0.251606,0.271699,0.830813,0.468553,0.401512
7,0.236328,0.287376,0.804166,0.436104,0.368674
8,0.228861,0.272294,0.817257,0.494157,0.415216
9,0.228129,0.278519,0.819391,0.456178,0.374137
10,0.211269,0.279204,0.820582,0.50615,0.427425
