epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.057927,0.605128,0.83247,0.458669,0.270977
2,0.053978,0.662458,0.833996,0.398606,0.202715
3,0.052446,0.580614,0.832119,0.455104,0.285594
4,0.050549,0.61413,0.829357,0.473082,0.30343
5,0.048181,0.577025,0.822626,0.494129,0.332569
6,0.049509,0.606726,0.84088,0.426866,0.24488
7,0.047828,0.659524,0.835502,0.411578,0.212836
8,0.046824,0.608079,0.841615,0.454035,0.277067
9,0.045611,0.631248,0.828043,0.435791,0.255099
10,0.043197,0.585925,0.846758,0.500739,0.329795
11,0.043913,0.557087,0.818659,0.497051,0.338831
12,0.045889,0.613179,0.816989,0.475768,0.296796
13,0.037593,0.566332,0.81338,0.503424,0.351084
14,0.038903,0.58058,0.82809,0.523156,0.370205
15,0.039625,0.577431,0.797831,0.507625,0.360663
16,0.037684,0.593405,0.825189,0.481295,0.323008
17,0.040075,0.580303,0.819347,0.518262,0.370173
18,0.039334,0.577555,0.833801,0.534271,0.392714
