epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.307718,0.290098,0.829383,0.410702,0.366021
2,0.282155,0.289237,0.840001,0.455496,0.400014
3,0.270258,0.284321,0.836773,0.456662,0.398578
4,0.254266,0.320621,0.832791,0.464856,0.398406
5,0.239447,0.262728,0.836309,0.491159,0.410288
6,0.250466,0.279792,0.821132,0.441904,0.380823
7,0.235351,0.279034,0.812532,0.439737,0.364427
8,0.228392,0.277958,0.808022,0.520056,0.441615
9,0.226356,0.279268,0.815709,0.472818,0.395107
10,0.208801,0.27374,0.808748,0.512696,0.430997
