epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.057405,0.604216,0.834969,0.460564,0.281824
2,0.053594,0.642881,0.838953,0.429423,0.237422
3,0.052165,0.59999,0.827014,0.471164,0.303868
4,0.05007,0.61092,0.837351,0.454857,0.281971
5,0.047845,0.586619,0.82806,0.489873,0.322817
6,0.049223,0.611211,0.835303,0.409021,0.218864
7,0.047417,0.654962,0.81042,0.386349,0.183043
8,0.04669,0.613612,0.837318,0.445658,0.271914
9,0.045393,0.643793,0.802713,0.407966,0.222762
10,0.043126,0.591833,0.827425,0.491022,0.32079
