epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.306306,0.301224,0.824908,0.448842,0.372861
2,0.281048,0.306173,0.822392,0.424407,0.37785
3,0.270664,0.291848,0.813569,0.450023,0.392674
4,0.255413,0.302369,0.815042,0.466413,0.394606
5,0.240505,0.279426,0.799396,0.487067,0.410845
6,0.250771,0.279076,0.803678,0.481557,0.416526
7,0.235327,0.282349,0.81321,0.428984,0.352525
8,0.228135,0.275457,0.818882,0.498738,0.425868
9,0.226019,0.272961,0.82724,0.493935,0.408856
10,0.209105,0.282177,0.825591,0.483905,0.411365
11,0.220414,0.276735,0.81525,0.489341,0.406025
12,0.236368,0.277954,0.79594,0.475407,0.395057
13,0.183788,0.281841,0.807984,0.487703,0.399079
14,0.198777,0.283283,0.802022,0.48611,0.399772
15,0.209663,0.281706,0.778091,0.508876,0.423505
16,0.199464,0.280788,0.801395,0.498182,0.414023
17,0.211955,0.279509,0.80017,0.512392,0.428045
