epoch,train_loss,val_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.05804,0.607703,0.835918,0.451266,0.260684
2,0.054127,0.631457,0.836134,0.437928,0.248095
3,0.052714,0.608804,0.824109,0.445551,0.274573
4,0.050647,0.637959,0.810012,0.456258,0.281246
5,0.04786,0.576911,0.812977,0.467971,0.306183
6,0.049489,0.615685,0.824344,0.413883,0.232868
7,0.047546,0.643458,0.821166,0.39551,0.193602
8,0.046692,0.612521,0.834439,0.435923,0.26339
9,0.045792,0.627894,0.818289,0.430881,0.249616
10,0.043047,0.603899,0.816554,0.466247,0.294056
